what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1409326680616
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1409326680617
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1409326680618
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1409326680619
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1409326680620
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1409326680621
os,sysinfo,,,"win32",1409326680624
arch,sysinfo,,,"x86",1409326680624
ws,sysinfo,,,"win32",1409326680624
locale,sysinfo,,,"en_US",1409326680624
processors,sysinfo,,,"4",1409326680624
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1409326680624
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1409326680624
java.specification.name,sysinfo,,,"Java Platform API Specification",1409326680624
java.specification.vendor,sysinfo,,,"Oracle Corporation",1409326680624
java.specification.version,sysinfo,,,"1.7",1409326680624
java.vendor,sysinfo,,,"Oracle Corporation",1409326680624
java.version,sysinfo,,,"1.7.0_25",1409326680624
java.vm.info,sysinfo,,,"mixed mode, sharing",1409326680624
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1409326680624
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409326680624
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1409326680624
java.vm.specification.version,sysinfo,,,"1.7",1409326680624
java.vm.vendor,sysinfo,,,"Oracle Corporation",1409326680624
java.vm.version,sysinfo,,,"23.25-b01",1409326680624
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1409326681701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409326682424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409326684734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409326688542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409326690166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409326698771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409326704745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1409326704749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1409326704749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409326708074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409326711329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409326725347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1409326725366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1409326725366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409326727644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409326760785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409326762093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409330288981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409330290080
